Date,Discharge_cfps
12/21/2018,241
12/22/2018,241
12/23/2018,240
12/24/2018,239
12/25/2018,240
12/26/2018,240
12/27/2018,239
12/28/2018,239
12/29/2018,238
12/30/2018,239
12/31/2018,239
1/1/2019,237
1/2/2019,249
1/3/2019,252
1/4/2019,254
1/5/2019,256
1/6/2019,256
1/7/2019,258
1/8/2019,258
1/9/2019,257
1/10/2019,257
1/11/2019,258
1/12/2019,258
1/13/2019,256
1/14/2019,255
1/15/2019,257
1/16/2019,257
1/17/2019,258
1/18/2019,258
1/19/2019,257
1/20/2019,256
1/21/2019,256
1/22/2019,255
1/23/2019,254
1/24/2019,254
1/25/2019,254
1/26/2019,254
1/27/2019,254
1/28/2019,254
1/29/2019,252
1/30/2019,253
1/31/2019,254
2/1/2019,254
2/2/2019,254
2/3/2019,254
2/4/2019,254
2/5/2019,254
2/6/2019,254
2/7/2019,255
2/8/2019,251
2/9/2019,251
2/10/2019,252
2/11/2019,251
2/12/2019,251
2/13/2019,250
2/14/2019,251
2/15/2019,250
2/16/2019,248
2/17/2019,247
2/18/2019,245
2/19/2019,245
2/20/2019,244
2/21/2019,244
2/22/2019,243
2/23/2019,242
2/24/2019,241
2/25/2019,240
2/26/2019,240
2/27/2019,239
2/28/2019,237
3/1/2019,236
3/2/2019,236
3/3/2019,235
3/4/2019,233
3/5/2019,231
3/6/2019,232
3/7/2019,232
3/8/2019,232
3/9/2019,232
3/10/2019,230
3/11/2019,229
3/12/2019,229
3/13/2019,233
3/14/2019,238
3/15/2019,242
3/16/2019,243
3/17/2019,244
3/18/2019,245
3/19/2019,246
3/20/2019,246
3/21/2019,246
3/22/2019,245
3/23/2019,245
3/24/2019,244
3/25/2019,244
3/26/2019,243
3/27/2019,243
3/28/2019,243
3/29/2019,242
3/30/2019,241
3/31/2019,240
4/1/2019,240
4/2/2019,239
4/3/2019,238
4/4/2019,238
4/5/2019,238
4/6/2019,241
4/7/2019,245
4/8/2019,248
4/9/2019,246
4/10/2019,244
4/11/2019,243
4/12/2019,241
4/13/2019,240
4/14/2019,240
4/15/2019,240
4/16/2019,240
4/17/2019,242
4/18/2019,241
4/19/2019,239
4/20/2019,238
4/21/2019,236
4/22/2019,235
4/23/2019,234
4/24/2019,234
4/25/2019,233
4/26/2019,233
4/27/2019,232
4/28/2019,232
4/29/2019,230
4/30/2019,229
5/1/2019,229
5/2/2019,228
5/3/2019,236
5/4/2019,245
5/5/2019,254
5/6/2019,263
5/7/2019,268
5/8/2019,273
5/9/2019,278
5/10/2019,279
5/11/2019,281
5/12/2019,280
5/13/2019,279
5/14/2019,278
5/15/2019,277
5/16/2019,278
5/17/2019,279
5/18/2019,280
5/19/2019,282
5/20/2019,279
5/21/2019,276
5/22/2019,274
5/23/2019,271
5/24/2019,276
5/25/2019,280
5/26/2019,278
5/27/2019,280
5/28/2019,277
5/29/2019,279
5/30/2019,280
5/31/2019,280
6/1/2019,280
6/2/2019,279
6/3/2019,279
